linked,link,url,name
,Romeros,http://meas.ose.state.nm.us/site.jsp?id=143&status=Y&type=S&dist=6&basin=NPT,Romeros
x,RoundHouse,http://meas.ose.state.nm.us/site.jsp?id=57&status=Y&type=S&dist=6&basin=Gallinas,RoundHouse
x,S.D.C.TownofSpringer,http://meas.ose.state.nm.us/site.jsp?id=166&status=Y&type=S&dist=7&basin=Cimarron River,S.D.C.TownofSpringer
,Salazar,http://meas.ose.state.nm.us/site.jsp?id=51&status=Y&type=S&dist=6&basin=Lower Chama,Salazar
x,SanAugustin,http://meas.ose.state.nm.us/site.jsp?id=134&status=Y&type=S&dist=6&basin=Gallinas,SanAugustin
,SanchezyChavez,http://meas.ose.state.nm.us/site.jsp?id=218&status=Y&type=S&dist=6&basin=Upper Chama,SanchezyChavez
x,SanIldefonso,http://meas.ose.state.nm.us/site.jsp?id=41&status=Y&type=S&dist=6&basin=NPT,SanIldefonso
,SanMiguelCommunityDitch,http://meas.ose.state.nm.us/site.jsp?id=238&status=Y&type=S&dist=4&basin=Hot Springs Basin,SanMiguelCommunityDitch
x,SantaClaraSpring,http://meas.ose.state.nm.us/site.jsp?id=184&status=Y&type=S&dist=7&basin=Santa Clara Spring,SantaClaraSpring
,SantaFeWWTPDischarge,http://meas.ose.state.nm.us/site.jsp?id=231&status=Y&type=S&dist=6&basin=Santa Fe River,SantaFeWWTPDischarge
x,Sargent,http://meas.ose.state.nm.us/site.jsp?id=82&status=Y&type=S&dist=5&basin=Animas River,Sargent
x,SibleyWellSpill,http://meas.ose.state.nm.us/site.jsp?id=158&status=Y&type=S&dist=2&basin=Carlsbad,SibleyWellSpill
x,SixmileCreek,http://meas.ose.state.nm.us/site.jsp?id=188&status=Y&type=S&dist=7&basin=Cimarron River,SixmileCreek
x,SpringerDitchbelowSpringerLake,http://meas.ose.state.nm.us/site.jsp?id=167&status=Y&type=S&dist=7&basin=Cimarron River,SpringerDitchbelowSpringerLake
x,SpringerDitchHighline,http://meas.ose.state.nm.us/site.jsp?id=165&status=Y&type=S&dist=7&basin=Cimarron River,SpringerDitchHighline
x,Stacey,http://meas.ose.state.nm.us/site.jsp?id=83&status=Y&type=S&dist=5&basin=Animas River,Stacey
x,Storrie,http://meas.ose.state.nm.us/site.jsp?id=53&status=Y&type=S&dist=6&basin=Gallinas,Storrie
x,Sunset,http://meas.ose.state.nm.us/site.jsp?id=117&status=Y&type=S&dist=3&basin=Gila Basin,Sunset
x,Swartz,http://meas.ose.state.nm.us/site.jsp?id=112&status=Y&type=S&dist=3&basin=Mimbres Basin,Swartz
,TACommunityDitch,http://meas.ose.state.nm.us/site.jsp?id=226&status=Y&type=S&dist=6&basin=Upper Chama,TACommunityDitch
x,Tajo,http://meas.ose.state.nm.us/site.jsp?id=193&status=Y&type=S&dist=3&basin=Mimbres Basin,Tajo
x,TaylorDrop,http://meas.ose.state.nm.us/site.jsp?id=168&status=Y&type=S&dist=7&basin=Cimarron River,TaylorDrop
x,TesuquePuebloPond,http://meas.ose.state.nm.us/site.jsp?id=131&status=Y&type=S&dist=6&basin=NPT,TesuquePuebloPond
x,TierraAzul,http://meas.ose.state.nm.us/site.jsp?id=127&status=Y&type=S&dist=6&basin=Lower Chama,TierraAzul
x,Tigner#1,http://meas.ose.state.nm.us/site.jsp?id=113&status=Y&type=S&dist=3&basin=Mimbres Basin,Tigner#1
,Trujillos,http://meas.ose.state.nm.us/site.jsp?id=42&status=Y&type=S&dist=6&basin=NPT,Trujillos
x,Turley,http://meas.ose.state.nm.us/site.jsp?id=88&status=Y&type=S&dist=5&basin=San Juan River,Turley
